id,subject,name,units,term,description
AshFord_ACC 201,Accounting Courses,Principles of Financial Accounting,3 Credits,,"This course is an introduction to financial accounting for non-accounting business majors. Emphasis is on construction of basic financial statements from a given set of transactions that include accruals and deferrals, and use of financial statement analysis to evaluate firm performance and quality of earnings."
AshFord_ACC 202,Accounting Courses,Principles of Managerial Accounting,3 Credits,,"This course is an introduction to managerial accounting for non-accounting business majors. Emphasis is given on the internal accounting methods of business organizations for planning and control. Various topics include determining accounting systems for manufacturing operations, cost-volume profit analysis, differential analysis and produce pricing, budgeting and standard costs, decentralized operations, and capital investment analysis."
AshFord_ACC 205,Accounting Courses,Principles of Accounting I,3 Credits,,"Introduction to the principles and procedures of general financial accounting with an emphasis on reporting to individuals outside the organization. Development of accounting reports on an accrual basis.Students who successfully complete ACC 205 may waive ACC 201, in approved circumstances."
AshFord_ACC 206,Accounting Courses,Principles of Accounting II,3 Credits,,"Primarily covers the principles of managerial accounting. Emphasis on reporting to individuals inside the organization. Major concepts include job order costing, process costing, budgets and standards, and statement analysis. "
AshFord_ACC 208,Accounting Courses,Accounting for Managers,3 Credits,,"This course is designed to explain how data can be interpreted and used by managers in making decisions. Additionally, this course introduces the student to the analysis and interpretation of financial reports."
AshFord_ACC 305,Accounting Courses,Intermediate Accounting I,3 Credits,,"This is the first of three intermediate accounting courses. The course covers accounting theory and a review of the accounting cycle. Additional topics covered include net income and comprehensive income, cash flows and the time value of money.. "
AshFord_ACC 306,Accounting Courses,Intermediate Accounting II,3 Credits,,"This is the second of three intermediate accounting courses. The first part of the course covers revenue recognition accounting theory. Additional topics covered include cash and receivables, inventory, long-term assets and liabilities. "
AshFord_ACC 308,Accounting Courses,Accounting Information Systems,3 Credits,,"This course serves to advance the knowledge of computerized accounting for service and merchandising businesses, the underlying differences between manual and computerized accounting, and build students understanding of the accounting cycle and business processes including bookkeeping, invoicing, billing, and business trends."
AshFord_ACC 310,Accounting Courses,Cost Accounting I,3 Credits,,"Covers traditional cost concepts: factory overhead, cost accumulation, job order cost system, process cost system, joint product and byproduct costing, standard costs and variances. "
AshFord_ACC 380,Accounting Courses,Accounting for Not-for-Profit Organizations,3 Credits,,"Examines the differences in accounting between not-for-profit and for-profit organizations. Accounting for funds including general funds, special revenue funds, capital projects funds, debts service funds, special assessment funds, internal service funds, enterprise funds, fiduciary funds, the general fixed asset group of accounts, and the general long-term debt group of accounts. "
AshFord_ACC 401,Accounting Courses,Federal Income Taxes I,3 Credits,,"A study of federal income tax laws and their application to individuals, partnerships, and corporations. "
AshFord_ACC 407,Accounting Courses,Advanced Accounting,3 Credits,,"Primarily a course dealing with combined business entities. Topics include mergers, acquisitions and combinations, consolidated financial statements, intercompany profit, changes in equity, international operations, and partnerships. "
