id,subject,name,units,term,description
CalPoly_AERO 121,Aerospace Engineering,Aerospace Fundamentals,2 units,['Fall'],Introduction to the engineering profession including the aeronautical and aerospace fields. Engineering approach to problem - solving and analysis of data obtained from experiments. Basic nomenclature and design criteria used in the aerospace industry. Applications to basic problems in the field.
CalPoly_AERO 200,Aerospace Engineering,Special Problems for Undergraduates,1-4 units,"['Fall', 'Winter', 'Spring']","Individual investigation, research, studies, or surveys of selected problems."
CalPoly_AERO 215,Aerospace Engineering,Introduction to Aerospace Design,2 units,"['Fall', 'Winter']",Introduction to problem solving techniques and team - centered design projects in aerospace engineering. Primary emphasis on the solutions of design problems in aerospace engineering using computers.
CalPoly_AERO 220,Aerospace Engineering,Aerospace Systems Engineering and Integration,1 unit,"['Fall', 'Winter', 'Spring']","Project - based study of fundamental systems engineering concepts including sub - system interface requirements, verification and validation, modeling / analysis / design, and implementation of complex aerospace systems."
CalPoly_AERO 270,Aerospace Engineering,Selected Topics,1-4 units,['tbd'],Directed group study of selected topics. The Schedule of Classes will list title selected. Total credit
CalPoly_AERO 299,Aerospace Engineering,Aerospace Thermodynamics,4 units,['Spring'],"Basics of thermodynamics, energy, systems and control volume analysis. First law, second law, phase change and energy analysis for aerospace - relevant applications. Entropy and exergy, cycle analysis ( Rankine, Brayton, turbojets and turbofans ). Not open to students with credit"
CalPoly_AERO 300,Aerospace Engineering,Aerospace Engineering Analysis,5 units,['Spring'],"Analytical methods for aerospace engineering problems. Topics include vector calculus, linear algebra, differential equations, Laplace transforms and Fourier series. Computer tools and numerical methods as applied to problems in aerodynamics, structures, stability and control and astronautics."
CalPoly_AERO 302,Aerospace Engineering,Aerospace Fluid Mechanics,4 units,['Fall'],"Properties of fluids, statics, mass / energy / momentum for aeronautical applications, external aerodynamics ( lift and drag ), dimensional analysis for scale testing, introduction to differential analysis and Navier - Stokes equations, basics of laminar and turbulent boundary layers."
CalPoly_AERO 303,Aerospace Engineering,Aerospace Gas Dynamics and Heat Transfer,4 units,['Winter'],"Basics of heat transfer and approaches to problem solving, steady heat conduction, convection ( forced and natural ), heat exchanger design, shock waves and compressible flow in nozzles and diffusers ( normal, oblique, expansion waves ), thermal radiation and applications."
CalPoly_AERO 304,Aerospace Engineering,Experimental Aerothermodynamics,2 units,['Winter'],"Laboratory experiments verify the momentum and energy equations. Mass flow rate, fan performance, boundary layer measurements, diffuser performance, and induction pump performance experiments are evaluated. Introduction to electronic sensors, signals and data acquisition."
CalPoly_AERO 306,Aerospace Engineering,Aerodynamics and Flight Performance,4 units,['Fall'],"Introduction to theoretical aerodynamics. Primary emphasis in the subsonic region, including compressibility effects. Basic aerodynamic theory : Airfoil theory, wing theory, lift and drag. Team - centered aerodynamic design. Flight performance."
CalPoly_AERO 307,Aerospace Engineering,Experimental Aerodynamics,2 units,['Spring'],"Wind tunnel testing of basic aerodynamic properties of airfoils, finite wings, aircraft or spacecraft models, and vehicle flight performance. Emphasis on both static and dynamic responses of aircraft. Various measurement techniques, data reduction schemes, and analysis methods."
CalPoly_AERO 310,Aerospace Engineering,Air and Space,4 units,['ge area Fall'],"Technological innovations that have led to modern aircraft and spacecraft as viewed from an historical perspective. Development of aerodynamics, propulsion systems, light - weight structures, and control systems. How aviation has affected, and been affected by, history. Impact of aviation on society, including civil and military aircraft / spacecraft. Federal regulation of aviation, including air traffic control and airlines. Future developments in air and space technology. 4 lectures. Crosslisted as AERO / HNRS310."
CalPoly_AERO 311,Aerospace Engineering,Aircraft Development History,4 units,['Fall'],"Traces the engineering evolution of commercial and military aircraft from the Wright Flyer to modern designs. Studies include how aircraft design is driven by the combination of requirements, deterrents and advancing technologies resulting in the continuous innovation of configurations."
CalPoly_AERO 320,Aerospace Engineering,Fundamentals of Dynamics and Control,4 units,['Fall'],"Introduction to six degree of freedom rigid body dynamic and kinematic equations of motion, including coordinate transformations, Euler angles and quaternions for aerospace vehicles. Linearization and dynamic system theory and stability. Introduction to linear control theory, controller design and analysis."
CalPoly_AERO 321,Aerospace Engineering,"Experimental Sensors, Actuators and Control",1 unit,['Fall'],"Experiments in translational and rotational dynamics, structural, thermal, and flow control. Comparison of modeling / simulation results to experimental data. Role of actuators, sensors, noise, feedback, and supporting instrumentation hardware and software. Introduction to technical communication."
CalPoly_AERO 331,Aerospace Engineering,Aerospace Structural Analysis I,4 units,['Winter'],"Deflection analysis. Principles of fictitious displacement, virtual work, and unit load method. Energy methods : Castigliano 's theorem, Maxwell - Betti reciprocal theorem, minimum principles, Rayleigh - Ritz 's method and Galerkin 's method. Stress analysis of aircraft and spacecraft components."
CalPoly_AERO 351,Aerospace Engineering,Introduction to Orbital Mechanics,4 units,['Fall'],Motion of a body in a central field. Keplerian Orbits. Orbital maneuvers. Interplanetary trajectories.
CalPoly_AERO 353,Aerospace Engineering,Spacecraft Environment,4 units,['Winter'],"Effects of the space environment on a spacecraft and design considerations. Topics include the launch, vacuum, particulate, plasma, and radiation environments"
CalPoly_AERO 354,Aerospace Engineering,Space Environment Laboratory,2 units,['Spring'],"Laboratory examples of the effects of the space environment on a spacecraft and design considerations. Topics include the launch, vacuum, particulate, plasma, and radiation environments. All topics are applied to how the environment affects spacecraft design considerations."
CalPoly_AERO 360,Aerospace Engineering,Creative Problem Solving in Engineering Design,2 units,['Winter'],"The creative problem solving process for an engineering design team. How to explore context and causes as part of defining a design problem ; the principles of brainstorming, synthesis, and judgment. Role of iteration, implementation, and communication. Importance of a diverse view, including : customers, products, processes, systems, ethics, and professional responsibility. Team - based applications to case studies and real - world engineering design problems."
CalPoly_AERO 400,Aerospace Engineering,Special Problems for Advanced Undergraduates,1-4 units,"['Fall', 'Winter', 'Spring', 'Summer']","Individual investigation, research, studies, or surveys of selected problems. Total credit"
CalPoly_AERO 401,Aerospace Engineering,Propulsion Systems,5 units,['Fall'],"Power plant types, components, characteristics, and requirements. Principles of thrust and energy utilization. Thermodynamic processes and performance of turboprop, turboshaft, turbofan, turbojet, ramjet, and rocket engines."
CalPoly_AERO 402,Aerospace Engineering,Spacecraft Propulsion Systems,5 units,['Fall'],"Effects of the propulsion subsystem on spacecraft design. Introduction to air breathing propulsion systems. Topics include basic rocket performance, monopropellant thrusters, bipropellant thrusters, electric thrusters, thruster placement, plumbing, tank sizing and design, system layout, component design, and systems integration."
CalPoly_AERO 405,Aerospace Engineering,Supersonic and Hypersonic Aerodynamics,4 units,['Spring'],"Review of gas dynamics, shock - wave and boundary - layer interaction, aerodynamic design. 2-dimensional supersonic flows around thin airfoil ; finite wing in supersonic flow. Local surface inclination methods for high - speed flight, boundary - layer and aerodynamic heating, viscous interactions."
CalPoly_AERO 406,Aerospace Engineering,Applied Computational Fluid Dynamics,4 units,['Fall'],"Application of Computational Fluid Dynamics to study a range of problems relating to applications in aerospace and automotive engineering. Grid generation, sources of errors in CFD studies, boundary conditions, 2D and 3D external flows, and turbulence modeling."
CalPoly_AERO 407,Aerospace Engineering,Reentry Aerodynamics,4 units,['Winter'],Near planet environments. Transition from orbital to aero - dynamic motion. Aerodynamic heating and effects on design.
CalPoly_AERO 409,Aerospace Engineering,Flight Test,4 units,['Winter'],"Overview of flight tests, test equations, and supporting facilities. Principles of team - centered flight testing with applications to performance, stability and control, and avionics systems testing. Test planning, instrumentation, data analysis and reports."
CalPoly_AERO 420,Aerospace Engineering,Aircraft Dynamics and Control,4 units,['Winter'],"Newton 's 6-degree - of - freedom equations of motion applied to aerospace vehicles. Stability and control derivatives, reference frames, steady - state and perturbed dynamic analyses applied to aerospace vehicles. Stability and control design principles applied to transfer functions, state - space, and modal system dynamics."
CalPoly_AERO 421,Aerospace Engineering,Spacecraft Attitude Dynamics and Control,4 units,['Spring'],"Introduction to spacecraft attitude dynamics and control. Momentum exchange devices and bang - bang thruster control. Orbit determination ( GPS ), maneuvers and station keeping. Fundamentals of guidance and navigation systems. Analysis and design of control systems for aerospace vehicles."
CalPoly_AERO 425,Aerospace Engineering,Aircraft Performance,4 units,['Fall'],"Fundamentals of propeller and jet aircraft performance. Steady and accelerated flight. Equations of motion. Level flight, gliding, climbing, driftdown. Takeoff and landing. Federal Aviation Regulations ( FARs ). Range and endurance. Payload - range diagram. Maneuvering. V - n diagram. Turning and pull - ups. Stall and spin behavior. Energy methods."
CalPoly_AERO 431,Aerospace Engineering,Aerospace Structural Analysis II,4 units,['Spring'],Basic equations of elasticity with applications to typical aerospace structures. Concepts studied include analysis of aircraft and aerospace structures ; airworthiness and airframe loads ; structural constraints ; elementary aeroelasticity ; structural instability ; introduction to modern fatigue ; fracture mechanics ; and composite structures analysis.
CalPoly_AERO 432,Aerospace Engineering,Advanced Composite Structures Analysis,4 units,['Fall'],Review of isotropic material behavior. Behavior of unidirectional fiber composites. Properties of short - fiber composites and orthotropic lamina. Analysis of laminated composites. Stresses and strains of composites. Strength and hygrothermal behavior of composite materials.
CalPoly_AERO 433,Aerospace Engineering,Experimental Stress Analysis,1 unit,"['Fall', 'Winter', 'Spring']",Employing the knowledge of stress analysis and aerospace structural analysis in an individual and group design project dealing with aerospace structures.
CalPoly_AERO 434,Aerospace Engineering,Aerospace Structural Analysis III,4 units,['Fall'],"Analysis and design applications for aircraft and spacecraft structures. Stress concentrations, fatigue, and fracture mechanics. Structural dynamics. Framed structures, plates and shells. Composite applications."
CalPoly_AERO 435,Aerospace Engineering,Aerospace Numerical Analysis,4 units,['Fall'],Taylor series. Finite difference calculus. Interpolation and extrapolation. Finite difference method. Basic equations of elasticity. Global stiffness matrix. Rayleigh - Ritz method. Galerkin method. Bernoulli - Euler beam element. Finite element formulation. Dynamic analysis.
CalPoly_AERO 443,Aerospace Engineering,Aircraft Design I,4 units,['Fall'],"Preliminary layout of a typical aircraft vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of a flight vehicle, including its structures and systems. Preparation of necessary drawings and a report."
CalPoly_AERO 444,Aerospace Engineering,Aircraft Design II,3 units,['Winter'],"Preliminary layout of a typical aircraft vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of a flight vehicle, including its structures and systems. Preparation of necessary drawings and a report."
CalPoly_AERO 445,Aerospace Engineering,Aircraft Design III,3 units,['Spring'],"Preliminary layout of a typical aircraft vehicle using design and calculation techniques developed in previous aerospace engineering courses. Design of a flight vehicle, including its structures and systems. Preparation of necessary drawings and a report."
CalPoly_AERO 446,Aerospace Engineering,Introduction to Space Systems,4 units,['Spring'],Basic satellite types and their applications. Major subsystems of a satellite system including ground support and launch systems. Interactions between subsystems and their effects on the overall system design. Detailed analysis of key subsystems on a spacecraft with special emphasis on power and communications subsystems.
