id,subject,name,units,term,description
CSUS_AIS 141,Accountancy Information System,Accounting Information Systems Development,3 Units,"Fall, Spring","Design, analysis, and implementation of computer-based accounting information systems. Discussion of flow charting, data security, systems development, program architecture, and management of the implementation process. Development of computer applications and formulation of decision information for managerial uses. Use of the computer in projects."
CSUS_AIS 142,Accountancy Information System,Enterprise and E-Commerce Accounting Models,3 Units,"Fall, Spring","Survey of Enterprise Resource Planning (ERP) models, Business-to-Business (B2B) E-commerce models, and the effects of the changing business and technology landscape upon the accounting profession.  Topics include internal control, auditing, and economics relating to these new business-process models. "
CSUS_AIS 194,Accountancy Information System,Cooperative Education Experience in Accounting Information Systems Problems,6 - 12 Units," Open to upper division students, subject to permission of the Accountancy Area. Petitions can be obtained from the Student Affairs Office, Tahoe 2065.  ","In-depth supervised work experience in accounting information systems for the purpose of exposing the student to comprehensive Accounting Information Systems experience in business, governmental, or service agencies. "
CSUS_AIS 195,Accountancy Information System,Internship in Accounting Information Systems,3 - 6 Units," Open to declared business administration upper division majors only, subject to permission of the Accountancy Area.  Petitions can be obtained from the Student Affairs Office, Tahoe 2065.  ","Supervised work experience in accounting information systems for the purpose of increasing student understanding of the nature and scope of the operations of business, governmental, or service agencies.  Supervision is provided by the faculty and cooperating agencies. "
CSUS_AIS 199,Accountancy Information System,Special Problems in Accounting Information Systems,1 - 3 Units," Open to declared business administration majors only. Admission requires approval of the instructor and the Associate Dean. Petitions can be obtained from the Undergraduate Business Advising Center, Tahoe 1030.    ",Individual accounting information systems projects or directed reading for students qualified to carry on independent work. 
CSUS_ACCY 1,Accountancy,Accounting Fundamentals,3 Units,"Fall, Spring","Accounting as the basis of an information system with emphasis on concepts and assumptions underlying data accumulation for financial reports.  Includes the concepts of income determination and financial position, and the accounting for various types of ownership equities. "
CSUS_ACCY 2,Accountancy,Managerial Accounting,3 Units,"Fall, Spring","Use and reporting of accounting data for managerial planning, control, and decision making. Broad coverage of concepts, classification, and behavior of costs. "
CSUS_ACCY 111,Accountancy,Intermediate Accounting I,3 Units,"Fall, Spring","In-depth knowledge of how financial information provides information about a company's: economic resources, obligations, and owner's equity; income and its components; and cash flows.  Topics include the development and application of basic assumptions, principles and constraints underlying financial statements; the use of information derived from financial statements and the limitations of the information; and the use of accounting information to evaluate a company's return on investment, risk, financial, flexibility, liquidity, and operational capability.  Students learn how to prepare financial statements."
CSUS_ACCY 112,Accountancy,Intermediate Accounting II,3 Units,"Fall, Spring","Application of Generally Accepted Accounting Principles to the reporting of tangible and intangible assets, liabilities, and the capital section of the balance sheet.  Other topics include the reporting of stock-based compensation and earnings-per-share. "
CSUS_ACCY 113,Accountancy,Intermediate Accounting III,3 Units,"Fall, Spring","Application of Generally Accepted Accounting Principles to revenue recognition and matching, pensions, leases, income taxes, accounting changes, interim financial statements, and segmental reporting.  Students develop an in-depth knowledge of the preparation and the analysis of the cash flow statement. "
CSUS_ACCY 117,Accountancy,Advanced Accounting,3 Units,"Fall, Spring",Specialized topics in partnership accounting; consolidated statements; foreign currency translation and financial statements. 
CSUS_ACCY 121,Accountancy,Cost Accounting,3 Units,"Fall, Spring","Importance of the allocation of costs; the cost allocation techniques available to accountants; the techniques used by management to maintain and create enterprise value, e.g., CVP analysis; the accountant's responsibility for the management of inventory; and the ethical consideration in internal reporting."
CSUS_ACCY 122,Accountancy,Advanced Management Accounting,3 Units,"Fall, Spring","Accountant's responsibility to provide financial and no financial information to managers; the planning techniques available to accountants; managerial control techniques that enhance the maintenance and improvement of enterprise value, and short-run and long-run analyses. "
CSUS_ACCY 131,Accountancy,"Survey of Auditing, Attest, and Assurance Topics",3 Units,"Fall, Spring","Survey of topics in auditing as a control activity in society.  Covers a variety of opportunities in the auditing profession including external auditing, internal auditing, compliance auditing, and operational auditing as well as fraud examinations.  Topics include evidence and documentation, professional ethics, auditing computer systems, statistical sampling, and internal controls. "
CSUS_ACCY 132,Accountancy,Accountants' Ethical and Professional Responsibilities,3 Units,"Fall, Spring","This course addresses professional responsibilities for the accounting profession, including the development of ethical standards, ethical reasoning, AICPA and California Codes of Professional Conduct, financial reporting fraud, corporate goverance, and other relevant topics. "
CSUS_ACCY 161,Accountancy,Government and Nonprofit Accounting,3 Units,"Fall, Spring",Fundamentals of accounting and financial reporting for governmental units and institutions; accounting for various types of funds; accounting aspects of budgetary control. 
CSUS_ACCY 171,Accountancy,Federal Tax Procedures I,3 Units,"Fall, Spring","Federal taxation concepts are used in effective decision making; a working knowledge of the concepts of gross income, deductions, tax rates, and property transactions as they pertain to C corporations, partnerships, S corporations, and individuals; and proficiency in the application of tax concepts as they pertain to business and individual taxpayers."
CSUS_ACCY 172,Accountancy,Federal Tax Procedures II,3 Units,"Fall, Spring","Business entity formation, operation, and termination and business taxation principles and concepts used in effective decision-making.  Students develop the ability to understand and apply business tax principles and the critical and analytical skills that are necessary in the study and application of taxation and tax law. "
CSUS_ACCY 190,Accountancy,International Accounting,3 Units,"Fall, Spring","Accounting concepts, principles, and methods applicable to multinational transactions and global corporations. Contents include the translation of financial statements, comparative accounting systems, financial reporting, currency risk management, international accounting standards and organizations, taxation problems, and the managerial aspects of multinational transactions."
CSUS_ACCY 194,Accountancy,Cooperative Education Experience in Accountancy,6 - 12 Units," Open to upper division students, subject to permission of the Accountancy Area. Petitions can be obtained from the Student Affairs Office, Tahoe 2065.   ","In-depth supervised work experience in accounting for the purpose of exposing the student to comprehensive accountancy experience in business, governmental, or service agencies. "
CSUS_ACCY 195,Accountancy,Internship in Accountancy,3 Units," Open to declared business administration upper division majors only, subject to permission of the Accountancy Area.  Petitions can be obtained from the Student Affairs Office, Tahoe 2065.  ","Supervised work experience in accountancy for the purpose of increasing student understanding of the nature and scope of the operations of business, governmental, or service agencies. Supervision is provided by the faculty and the cooperating agencies. "
CSUS_ACCY 199,Accountancy,Special Problems in Accountancy,1 - 3 Units, Open to declared business administration majors only.  ,"Individual projects or directed reading for students qualified to carry on independent work. Admission requires approval of the instructor and the Associate Dean. Petitions can be obtained from the Undergraduate Business Advising Center, Tahoe 1030. "
CSUS_ACCY 220,Accountancy,Accountancy Teaching Experience,3 - 6 Units,"Fall, Spring", and must have approval of the Department Chair. May not be used to satisfy any requirements in the CBA graduate programs. No student may earn more than twelve (12) units cumulative.
CSUS_ACCY 240,Accountancy,Integrated Accounting Concepts,3 Units,"Fall, Spring","Designed for students who enter the Master of Science Accountancy program without a Bachelor of Science in Accountancy or students who need to refresh their basic skills and understanding in record keeping, financial statement preparation and analysis, ethics in the practice of accounting, and internal controls through the use of comprehensive case study/practice set. Delivered via independent project work rather than lecture."
CSUS_ACCY 250,Accountancy,Financial Reporting I,3 Units,"Fall, Spring","Corporate financial reporting to external users in accordance with US Generally Accepted Accounting Principles (GAAP), including financial information about a company's economic resources, obligations, owners' equity, income, case flow, and use of information to evaluate a company's return on investment, risk, financial flexibility, liquidity, and operational capability."
CSUS_ACCY 251,Accountancy,Foundations of International Accounting,3 Units,"Fall, Spring",The role of culture in accounting; comparative international financial and managerial accounting fundamentals; international financial statement analysis; international accounting standards and U.S. GAAP convergence; international business combinations; foreign exchange; international auditing; international taxation; and international capital flows. 
CSUS_ACCY 260,Accountancy,Financial Reporting II,3 Units,"Fall, Spring","In-depth study of technical financial accounting issues including accounting for pensions and leases, income tax, accounting changes, consolidated financial statements, and foreign currency. "
CSUS_ACCY 261,Accountancy,Cost Analysis and Control,3 Units,"Fall, Spring","Fundamentals of cost accounting concepts and practice relating to cost accumulation, control, and analysis for managerial planning and decision making.  Specific topics generally include product costing, standards, cost allocation, estimation, budgeting, transfer pricing, and performance evaluation. Emphasis is on current issues."
CSUS_ACCY 262,Accountancy,Auditing,3 Units,"Fall, Spring","Study auditing as a control activity in society. It covers a variety of opportunities in the auditing profession including external auditing, internal auditing, compliance auditing, and operational auditing as well as fraud examinations. Topics include evidence and documentation, auditing computer systems, and internal controls."
CSUS_ACCY 263,Accountancy,Governmental and Non-Profit Accounting,3 Units,"Fall, Spring","This course provides an in depth study of accounting and reporting for state and local governmental and non-profit entities. The course emphasizes the governmental reporting environment, the accounting for various types of funds, the accounting aspects of budgetary control, and the preparation of governmental financial information to be included in the Comprehensive Annual Financial Report. This course also emphasizes the key differences between governmental and non-profit organizations, and the financial accounting and reporting for non-profit organizations."
CSUS_ACCY 264,Accountancy,Taxation of Business Entities,3 Units,"Fall, Spring","Covers the topics for corporate tax, partnership tax, estate and gift tax, and tax planning. Corporate tax includes taxation of transactions between corporations and thier shareholders, transfers to corporations, dividends and non-liquidating distributions, stock redemptions, corporate liquidations, and S corporation. Partnership tax includes operation and liquidation, dissolution, sales, and exchange of partnership interests. Estate and gift tax addresses the types of transfers for federal gift tax."
CSUS_ACCY 265,Accountancy,Advanced Accounting Information Systems Analysis and Controls,3 Units,"Fall, Spring","Emphasis on the role of computer and information technology in the development, analysis, and operation of accounting information systems; may include advanced coverage of accounting transaction cycles, accounting systems planning and analysis, accounting system design, accounting systems implementation and operation, the accounting system internal control structure, data modeling and database design in accounting, computer fraud and security, and auditing of computer-based information systems."
CSUS_ACCY 266,Accountancy,Business Environment and Concepts,3 Units,"Fall, Spring","Designed to provide understanding of knowledge and skills necessary for the general business environment and business operation. In addition, students are required to apply that knowledge in performing professional responsibilities. Topics include corporate governance, business cycles, global economic markets, business strategy, effect of financial management policies on accounting transactions, economic substance of transactions and their accounting implications, and budgeting/forecasting techniques."
CSUS_ACCY 269,Accountancy,Taxation of Individuals,3 Units,"Fall, Spring","Covers the required topics for tax form preparation for reporting individual incomes. Examines fundamental concepts in tax law and the underlying reasons for income identification, exemption, and deduction."
CSUS_ACCY 270,Accountancy,Tax Research and Procedure,3 Units,"Fall, Spring","Tax reporting and collection procedure; administrative and judicial procedures governing tax controversies; the rights and obligations of the taxpayer. Intensive training in performing and communicating tax research. Includes use of current database programs.  Lecture basis, followed by ""hands-on"" application of research methods. "
