(CSUS_ANTH 278, CalPoly_ANT 465)
(CSUS_ANTH 178, CalPoly_ANT 465)
(CSUS_CSC 1, CalPoly_CSC 225)
(CSUS_CSC 1, CalPoly_CSC 321)
(CSUS_CSC 1, CalPoly_CSC 123)
(CSUS_CHEM 140A, CalPoly_CHEM 353)
(CSUS_CHEM 140A, CalPoly_CHEM 351)
(CSUS_CHEM 140A, CalPoly_CHEM 352)
(CSUS_CHEM 140A, CalPoly_CHEM 357)
(CSUS_CHEM 142, CalPoly_CHEM 101)
(CSUS_CHEM 142, CalPoly_CHEM 212)
(CSUS_CHEM 124, CalPoly_CHEM 218)
(CSUS_CHEM 124, CalPoly_CHEM 221)
(CSUS_CHEM 124, CalPoly_CHEM 216)
(CSUS_CHEM 124, CalPoly_CHEM 324)
(CSUS_CHEM 124, CalPoly_CHEM 217)
(CSUS_CHEM 124, CalPoly_CHEM 223)
(CSUS_CPE 185, CalPoly_CPE 464)
(CSUS_CPE 185, CalPoly_CPE 321)
(CSUS_COMS 195, CalPoly_COMS 450)
(CSUS_COMS 8, CalPoly_COMS 212)
(CSUS_CHEM 140B, CalPoly_CHEM 353)
(CSUS_CHEM 140B, CalPoly_CHEM 221)
(CSUS_CHEM 140B, CalPoly_CHEM 351)
(CSUS_CHEM 140B, CalPoly_CHEM 352)
(CSUS_CHEM 140B, CalPoly_CHEM 357)
(CSUS_CHEM 294, CalPoly_CHEM 221)
(CSUS_CHEM 294, CalPoly_CHEM 216)
(CSUS_CHEM 294, CalPoly_CHEM 217)
(CSUS_CHEM 294, CalPoly_CHEM 351)
(CSUS_CHEM 294, CalPoly_CHEM 352)
(CSUS_COMS 116, CalPoly_COMS 316)
(CSUS_COMS 116, CalPoly_COMS 315)
(CSUS_COMS 116, CalPoly_COMS 450)
(CSUS_COMS 116, CalPoly_COMS 212)
(CSUS_CHEM 133, CalPoly_CHEM 101)
(CSUS_CHEM 24, CalPoly_CHEM 218)
(CSUS_CHEM 24, CalPoly_CHEM 221)
(CSUS_CHEM 24, CalPoly_CHEM 216)
(CSUS_CHEM 24, CalPoly_CHEM 324)
(CSUS_CHEM 24, CalPoly_CHEM 217)
(CSUS_CHEM 24, CalPoly_CHEM 223)
(CSUS_CHEM 110, CalPoly_CHEM 218)
(CSUS_CHEM 110, CalPoly_CHEM 221)
(CSUS_CHEM 110, CalPoly_CHEM 216)
(CSUS_CHEM 110, CalPoly_CHEM 324)
(CSUS_CHEM 110, CalPoly_CHEM 481)
(CSUS_CHEM 110, CalPoly_CHEM 217)
(CSUS_CHEM 110, CalPoly_CHEM 223)
(CSUS_CHEM 110, CalPoly_CHEM 212)
(CSUS_CHEM 110, CalPoly_CHEM 484)
(CSUS_CHEM 20L, CalPoly_CHEM 218)
(CSUS_CHEM 20L, CalPoly_CHEM 221)
(CSUS_CHEM 20L, CalPoly_CHEM 216)
(CSUS_CHEM 20L, CalPoly_CHEM 324)
(CSUS_CHEM 20L, CalPoly_CHEM 217)
(CSUS_CHEM 20L, CalPoly_CHEM 223)
(CSUS_CHEM 20L, CalPoly_CHEM 212)
(CSUS_CHEM 20L, CalPoly_CHEM 484)
(CSUS_COMS 295, CalPoly_COMS 450)
(CSUS_COMS 174, CalPoly_COMS 316)
(CSUS_COMS 174, CalPoly_COMS 315)
(CSUS_COMS 174, CalPoly_COMS 450)
(CSUS_COMS 174, CalPoly_COMS 212)
(CSUS_ANTH 202, CalPoly_ANT 250)
(CSUS_ECON 265, CalPoly_ECON 410)
(CSUS_ANTH 1A, CalPoly_ANT 250)
(CSUS_ECON 110, CalPoly_ECON 410)
(CSUS_COMS 179, CalPoly_COMS 218)
(CSUS_CE 100, CalPoly_CE 486)
(CSUS_CE 100, CalPoly_CE 382)
(CSUS_CE 196M, CalPoly_CE 589)
(CSUS_CE 181, CalPoly_CE 587)
(CSUS_CE 181, CalPoly_CE 381)
(CSUS_CE 181, CalPoly_CE 486)
(CSUS_CE 181, CalPoly_CE 382)
(CSUS_ECON 150, CalPoly_ECON 435)
(CSUS_ECON 150, CalPoly_ECON 413)
(CSUS_CE 137, CalPoly_CE 336)
(CSUS_ECON 193, CalPoly_ECON 325)
(CSUS_ECON 120, CalPoly_ECON 325)
(CSUS_ECON 120, CalPoly_ECON 303)
(CSUS_ECON 140, CalPoly_ECON 395)
(CSUS_ANTH 124, CalPoly_ANT 309)
(CSUS_CE 272, CalPoly_CE 533)
(CSUS_CE 272, CalPoly_CE 581)
(CSUS_CSC 126, CalPoly_CSC 476)
(CSUS_CSC 10, CalPoly_CSC 582)
(CSUS_CE 135, CalPoly_CE 337)
(CSUS_CHEM 31, CalPoly_CHEM 231)
(CSUS_CHEM 31, CalPoly_CHEM 331)
(CSUS_CE 101, CalPoly_CE 536)
(CSUS_CE 101, CalPoly_CE 113)
(CSUS_CE 296H, CalPoly_CE 536)
(CSUS_CE 296H, CalPoly_CE 113)
(CSUS_CHDV 23, CalPoly_CD 401)
(CSUS_CHDV 23, CalPoly_CD 431)
(CSUS_CPE 142, CalPoly_CPE 465)
(CSUS_CPE 142, CalPoly_CPE 482)
(CSUS_CE 265, CalPoly_CE 552)
(CSUS_CSC 35, CalPoly_CSC 108)
(CSUS_CHDV 35, CalPoly_CD 401)
(CSUS_CHDV 35, CalPoly_CD 431)
(CSUS_CHDV 35, CalPoly_CD 460)
(CSUS_CHDV 35, CalPoly_CD 417)
(CSUS_ART 150, CalPoly_ART 325)
(CSUS_CE 266, CalPoly_CE 556)
(CSUS_CE 266, CalPoly_CE 552)
(CSUS_CHEM 110L, CalPoly_CHEM 420)
(CSUS_CHEM 110L, CalPoly_CHEM 414)
(CSUS_CSC 1A, CalPoly_CSC 108)
(CSUS_CHEM 125, CalPoly_CHEM 405)
(CSUS_CHEM 125, CalPoly_CHEM 420)
(CSUS_CHEM 125, CalPoly_CHEM 414)
(CSUS_DNCE 131, CalPoly_DANC 321)
(CSUS_CM 120, CalPoly_CM 522)
(CSUS_ART 123, CalPoly_ART 302)
(CSUS_ECON 160, CalPoly_ECON 403)
(CSUS_ECON 100B, CalPoly_ECON 313)
(CSUS_ECON 100A, CalPoly_ECON 313)
(CSUS_CSC 255, CalPoly_CSC 564)
(CSUS_COMS 115, CalPoly_COMS 420)
(CSUS_ECON 295, CalPoly_ECON 405)
(CSUS_ECON 195, CalPoly_ECON 405)
(CSUS_ART 20B, CalPoly_ART 201)
(CSUS_ART 88, CalPoly_ART 148)
(CSUS_CSC 253, CalPoly_CSC 105)
(CSUS_CSC 253, CalPoly_CSC 101)
(CSUS_COMS 108, CalPoly_COMS 428)
(CSUS_CM 15, CalPoly_CM 115)
(CSUS_CM 15, CalPoly_CM 443)
(CSUS_ART 183, CalPoly_ART 448)
(CSUS_ART 141, CalPoly_ART 470)
(CSUS_ART 141, CalPoly_ART 448)
(CSUS_COMS 209, CalPoly_COMS 319)
(CSUS_COMS 173, CalPoly_COMS 319)
(CSUS_CSC 151, CalPoly_CSC 483)
(CSUS_CE 147, CalPoly_CE 421)
(CSUS_ART 40, CalPoly_ART 209)
(CSUS_ART 22, CalPoly_ART 209)
(CSUS_CSC 214, CalPoly_CSC 481)
(CSUS_CE 149, CalPoly_CE 481)
(CSUS_CE 149, CalPoly_CE 586)
(CSUS_CSC 123, CalPoly_CSC 436)
(CSUS_CPE 166, CalPoly_CPE 522)
(CSUS_CE 235, CalPoly_CE 558)
(CSUS_CE 139, CalPoly_CE 433)
(CSUS_COMS 161, CalPoly_COMS 418)
(CSUS_COMS 201, CalPoly_COMS 311)
(CSUS_CHEM 189A, CalPoly_CHEM 201)
(CSUS_ART 134, CalPoly_ART 111)
(CSUS_ART 134, CalPoly_ART 353)
(CSUS_CSC 215, CalPoly_CSC 580)
(CSUS_CSC 215, CalPoly_CSC 480)
(CSUS_CE 276, CalPoly_CE 434)
(CSUS_CE 148, CalPoly_CE 526)
(CSUS_ECON 152, CalPoly_ECON 432)
(CSUS_CE 184, CalPoly_CE 583)
(CSUS_ECON 162, CalPoly_ECON 432)
(CSUS_ART 108, CalPoly_ART 315)
(CSUS_ART 182, CalPoly_ART 348)
(CSUS_ECON 190, CalPoly_ECON 404)
(CSUS_ECON 190, CalPoly_ECON 330)
(CSUS_ECON 290, CalPoly_ECON 404)
(CSUS_ECON 290, CalPoly_ECON 330)
(CSUS_CSC 254, CalPoly_CSC 422)
(CSUS_CSC 258, CalPoly_CSC 469)
(CSUS_CSC 258, CalPoly_CSC 560)
(CSUS_CE 269, CalPoly_CE 599)
(CSUS_CHEM 141, CalPoly_CHEM 354)
(CSUS_CHEM 25, CalPoly_CHEM 354)
(CSUS_COMS 117, CalPoly_COMS 386)
(CSUS_COMS 117, CalPoly_COMS 312)
(CSUS_CM 126, CalPoly_CM 371)
(CSUS_CM 126, CalPoly_CM 212)
(CSUS_CM 126, CalPoly_CM 214)
(CSUS_COMS 171, CalPoly_COMS 312)
(CSUS_COMS 55, CalPoly_COMS 386)
(CSUS_CM 20, CalPoly_CM 371)
(CSUS_CM 20, CalPoly_CM 310)
(CSUS_COMS 162, CalPoly_COMS 421)
(CSUS_COMS 212, CalPoly_COMS 217)
(CSUS_COMS 105, CalPoly_COMS 217)
(CSUS_ART 115, CalPoly_ART 317)
(CSUS_ART 115, CalPoly_ART 318)
(CSUS_ART 3A, CalPoly_ART 317)
(CSUS_ART 3A, CalPoly_ART 318)
(CSUS_CSC 130, CalPoly_CSC 349)
(CSUS_ART 5, CalPoly_ART 318)
